grant_number;in_cruz_list
2216721;TRUE
2216826;TRUE
2217477;TRUE
2217681;TRUE
2217703;FALSE
2217706;TRUE
2217708;TRUE
2217718;TRUE
2217732;TRUE
2217741;TRUE
2217745;TRUE
2217770;FALSE
2217780;TRUE
2218100;TRUE
2218101;TRUE
2218504;FALSE
2218544;TRUE
2218547;TRUE
2218904;TRUE
2219389;TRUE
2219604;FALSE
2220322;TRUE
2220535;TRUE
2220536;TRUE
2220724;TRUE
2221894;TRUE
2221922;TRUE
2221994;TRUE
2221995;TRUE
2221996;TRUE
2222018;FALSE
2222147;TRUE
2222234;TRUE
2222278;TRUE
2222427;TRUE
2222452;TRUE
2222453;TRUE
2222482;TRUE
2223907;TRUE
2224247;TRUE
2224248;TRUE
2224295;FALSE
2224296;FALSE
2224509;FALSE
2224565;FALSE
2224571;FALSE
2224593;TRUE
2224594;TRUE
2224595;FALSE
2224615;FALSE
2224674;TRUE
2224675;TRUE
2225095;TRUE
2225209;TRUE
2225362;TRUE
2225567;TRUE
2226087;FALSE
2227624;FALSE
2227705;FALSE
2227918;TRUE
2228064;TRUE
2228135;TRUE
2228162;TRUE
2228173;TRUE
2228205;TRUE
2228216;TRUE
2229008;TRUE
2230083;FALSE
2230494;FALSE
2230615;TRUE
2230616;TRUE
2230683;FALSE
2230692;FALSE
2230723;TRUE
2230887;FALSE
2231202;TRUE
2231729;TRUE
2231959;FALSE
2233205;TRUE
2233342;TRUE
2233343;TRUE
2233509;TRUE
2233683;TRUE
2233694;TRUE
2233699;TRUE
2233701;TRUE
2233702;TRUE
2233703;TRUE
2233707;TRUE
2233787;TRUE
2233788;TRUE
2233789;TRUE
2233790;TRUE
2234351;TRUE
2234510;TRUE
2234708;TRUE
2235130;TRUE
2236163;TRUE
2236374;TRUE
2236596;TRUE
2236618;TRUE
2236814;TRUE
2237151;FALSE
2237461;TRUE
2237564;TRUE
2237580;TRUE
2237739;TRUE
2237867;TRUE
2237986;TRUE
2238389;TRUE
2238410;TRUE
2238446;TRUE
2239067;TRUE
2239194;FALSE
2239348;TRUE
2239824;TRUE
2239879;FALSE
2240327;TRUE
2240343;TRUE
2240535;TRUE
2240660;TRUE
2240900;TRUE
2241068;FALSE
2241069;FALSE
2241070;FALSE
2241521;TRUE
2241522;TRUE
2241576;TRUE
2241596;FALSE
2241805;TRUE
2241828;FALSE
